	ba_cn	ind_year	ricf_oid	ba_uscc	nm_offi
0	一汽自主创新沈曾华奖励基金会	2013	1	532200006687540807	一汽自主创新沈曾华奖励基金会
1	一汽自主创新沈曾华奖励基金会	2014	1	532200006687540807	一汽自主创新沈曾华奖励基金会
2	一汽自主创新沈曾华奖励基金会	2015	1	532200006687540807	一汽自主创新沈曾华奖励基金会
3	一达助学（伊春）基金会	2013	2		
4	一达助学（伊春）基金会	2014	2		
5	一达助学（伊春）基金会	2015	2		
6	万科公益基金会	2013	3	531000005000211741	万科公益基金会
7	万科公益基金会	2014	3	531000005000211741	万科公益基金会
8	万科公益基金会	2015	3	531000005000211741	万科公益基金会
9	三亚宪清养老基金会	2013	4	5346000058925183XK	三亚宪清养老基金会
10	三亚宪清养老基金会	2014	4	5346000058925183XK	三亚宪清养老基金会
11	三亚宪清养老基金会	2015	4	5346000058925183XK	三亚宪清养老基金会
12	三亚市法律援助基金会	2013	5	5346000057873617X9	三亚市法律援助基金会
13	三亚市法律援助基金会	2014	5	5346000057873617X9	三亚市法律援助基金会
14	三亚市法律援助基金会	2015	5	5346000057873617X9	三亚市法律援助基金会
15	三明学院教育发展基金会	2013	6	53350400084336002Q	三明学院教育发展基金会
16	三明学院教育发展基金会	2014	6	53350400084336002Q	三明学院教育发展基金会
17	三明学院教育发展基金会	2015	6	53350400084336002Q	三明学院教育发展基金会
18	三江学院教育发展基金会	2013	7	53320000509158142H	三江学院教育发展基金会
19	三江学院教育发展基金会	2014	7	53320000509158142H	三江学院教育发展基金会
20	三江学院教育发展基金会	2015	7	53320000509158142H	三江学院教育发展基金会
21	三江源生态保护基金会	2013	8	536300005950262926	三江源生态保护基金会
22	三江源生态保护基金会	2014	8	536300005950262926	三江源生态保护基金会
23	三江源生态保护基金会	2015	8	536300005950262926	三江源生态保护基金会
24	三门县人民教育基金会	2013	9	53330000766415218E	三门县人民教育基金会
25	三门县人民教育基金会	2014	9	53330000766415218E	三门县人民教育基金会
26	三门县人民教育基金会	2015	9	53330000766415218E	三门县人民教育基金会
27	上海七弦古琴文化发展基金会	2013	10	53310000501781458L	上海七弦古琴文化发展基金会
28	上海七弦古琴文化发展基金会	2014	10	53310000501781458L	上海七弦古琴文化发展基金会
29	上海七弦古琴文化发展基金会	2015	10	53310000501781458L	上海七弦古琴文化发展基金会
30	上海万宇慈善基金会	2013	11	53310000501782493G	上海万宇慈善基金会
31	上海万宇慈善基金会	2014	11	53310000501782493G	上海万宇慈善基金会
32	上海万宇慈善基金会	2015	11	53310000501782493G	上海万宇慈善基金会
33	上海世华民族艺术瑰宝回归基金会	2013	12		
34	上海世华民族艺术瑰宝回归基金会	2014	12		
35	上海世华民族艺术瑰宝回归基金会	2015	12		
36	上海东华大学教育发展基金会	2013	13	533100005017814157	上海东华大学教育发展基金会
37	上海东华大学教育发展基金会	2014	13	533100005017814157	上海东华大学教育发展基金会
38	上海东华大学教育发展基金会	2015	13	533100005017814157	上海东华大学教育发展基金会
39	上海东方文化艺术基金会	2013	14	53310000501780893Q	上海东方文化艺术基金会
40	上海东方文化艺术基金会	2014	14	53310000501780893Q	上海东方文化艺术基金会
41	上海东方文化艺术基金会	2015	14	53310000501780893Q	上海东方文化艺术基金会
42	上海东方爱心基金会	2013	15	5331000050178056X5	上海东方爱心基金会
43	上海东方爱心基金会	2014	15	5331000050178056X5	上海东方爱心基金会
44	上海东方爱心基金会	2015	15	5331000050178056X5	上海东方爱心基金会
45	上海中华职业教育温暖工程基金会	2013	16	53310000501780420H	上海中华职业教育温暖工程基金会
46	上海中华职业教育温暖工程基金会	2014	16	53310000501780420H	上海中华职业教育温暖工程基金会
47	上海中华职业教育温暖工程基金会	2015	16	53310000501780420H	上海中华职业教育温暖工程基金会
48	上海中欧国际工商学院教育发展基金会	2013	17	53310000501779569G	上海中欧国际工商学院教育发展基金会
49	上海中欧国际工商学院教育发展基金会	2014	17	53310000501779569G	上海中欧国际工商学院教育发展基金会
50	上海中欧国际工商学院教育发展基金会	2015	17	53310000501779569G	上海中欧国际工商学院教育发展基金会
51	上海交响乐团文化发展基金会	2013	18	53310000501772770E	上海交响乐团文化发展基金会
52	上海交响乐团文化发展基金会	2014	18	53310000501772770E	上海交响乐团文化发展基金会
53	上海交响乐团文化发展基金会	2015	18	53310000501772770E	上海交响乐团文化发展基金会
54	上海交通大学教育发展基金会	2013	19	53310000501777985E	上海交通大学教育发展基金会
55	上海交通大学教育发展基金会	2014	19	53310000501777985E	上海交通大学教育发展基金会
56	上海交通大学教育发展基金会	2015	19	53310000501777985E	上海交通大学教育发展基金会
57	上海仁德基金会	2013	20	53310000501781829B	上海仁德基金会
58	上海仁德基金会	2014	20	53310000501781829B	上海仁德基金会
59	上海仁德基金会	2015	20	53310000501781829B	上海仁德基金会
60	上海公安金盾基金会	2013	21	533100005017813781	上海公安金盾基金会
61	上海公安金盾基金会	2014	21	533100005017813781	上海公安金盾基金会
62	上海公安金盾基金会	2015	21	533100005017813781	上海公安金盾基金会
63	上海兴华教育扶贫基金会	2013	22	53310000501780084D	上海兴华教育扶贫基金会
64	上海兴华教育扶贫基金会	2014	22	53310000501780084D	上海兴华教育扶贫基金会
65	上海兴华教育扶贫基金会	2015	22	53310000501780084D	上海兴华教育扶贫基金会
