机构ID	机构名称	报表时间	本年度捐赠收入_现金	来自境内的捐赠_现金	来自境内自然人的捐赠_现金	来自境内法人或者其他组织的捐赠_现金	来自境外的捐赠_现金	来自境外自然人的捐赠_现金	来自境外法人或者其他组织的捐赠_现金	接受非公益性捐赠情况_现金	本年度捐赠收入_非现金	来自境内的捐赠_非现金	来自境内自然人的捐赠_非现金	来自境内法人或者其他组织的捐赠_非现金	来自境外的捐赠_非现金	来自境外自然人的捐赠_非现金	来自境外法人或者其他组织的捐赠_非现金	接受非公益性捐赠情况_非现金	上年度基金余额	本年度总支出	本年度用于公益事业的支出	工作人员工资福利支出	行政办公支出	捐赠主体ID	捐赠主体名称	捐赠额_现金_限定	捐赠额_非现金_限定	捐赠额_现金_非限定	捐赠额_非现金_非限定	用途
ricf_oid	ba_cn	fp_dt	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use
2	一达助学（伊春）基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		92862.43 	92000.00 	0.00 	912.57 							
3	万科公益基金会	2013	4660319.19 	4660319.19 	1435400.00 	3224919.19 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		17838388.01 	17310269.65 	0.00 	13852.00 							
5	三亚市法律援助基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		148264.98 	100100.00 	24000.00 	24164.98 							
6	三明学院教育发展基金会	2013	2000000.00 	2000000.00 	0.00 	2000000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		0.00 	0.00 	0.00 	0.00 							
7	三江学院教育发展基金会	2013	200000.00 	200000.00 	0.00 	200000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		4948800.00 	4942800.00 	0.00 	6000.00 							
8	三江源生态保护基金会	2013	1600000.00 	1600000.00 	0.00 	1600000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		1286498.52 	1132867.22 	76361.30 	77270.00 							
9	三门县人民教育基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		38473.80 	0.00 	7200.00 	31273.80 							
10	上海七弦古琴文化发展基金会	2013	300000.00 	300000.00 	300000.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		403052.71 	355358.56 	14760.00 	8664.30 							
11	上海万宇慈善基金会	2013	5000000.00 	5000000.00 	0.00 	5000000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		503495.00 	503191.00 	0.00 	0.00 							
12	上海世华民族艺术瑰宝回归基金会	2013	400000.00 	400000.00 	280000.00 	120000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		163000.00 	163000.00 	0.00 	0.00 							
13	上海东华大学教育发展基金会	2013	11310669.56 	11280500.19 	1256000.19 	10024500.00 	30169.37 	0.00 	30169.37 	0	0	0	0	0	0	0	0	0		9556772.10 	9547900.00 	0.00 	8872.10 							
14	上海东方文化艺术基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		14197204.84 	13808760.66 	287871.00 	99149.68 							
15	上海东方爱心基金会	2013	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		1311339.00 	1200000.00 	0.00 	111339.00 							
16	上海中华职业教育温暖工程基金会	2013	82561.20 	82561.20 	0.00 	82561.20 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		441434.55 	403361.20 	23400.00 	14673.35 							
17	上海中欧国际工商学院教育发展基金会	2013	29292223.12 	29292223.12 	1860234.19 	27431988.93 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		16027970.46 	14696529.33 	522315.87 	807701.00 							
18	上海交响乐团文化发展基金会	2013	16478600.00 	16478600.00 	0.00 	16478600.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		4172377.41 	4119069.00 	0.00 	53308.41 							
19	上海交通大学教育发展基金会	2013	154854022.53 	123267761.30 	45670959.09 	77596802.21 	31586261.23 	5809892.79 	25776368.44 	0	0	0	0	0	0	0	0	0		77637392.01 	77323247.27 	0.00 	0.00 							
20	上海仁德基金会	2013	4044932.39 	4044932.39 	881117.60 	3163814.79 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		2362309.30 	1941253.00 	198094.00 	36142.95 							
21	上海公安金盾基金会	2013	33000000.00 	33000000.00 	0.00 	33000000.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		9161001.00 	8999306.30 	138000.00 	18032.10 							
22	上海兴华教育扶贫基金会	2013	13179886.53 	13179886.53 	13179886.53 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0	0	0	0		8517108.06 	4184087.50 	4184087.50 	145506.56 							
