机构ID	机构名称	报表时间	接受捐赠收到的现金	收取会员费收到的现金	提供服务收到的现金	销售商品收到的现金	政府补贴收到的现金	收到的与其他业务活动有关的现金	业务活动现金流入小计	提供捐赠或者资助支付的现金	支付给员工以及为员工支付的现金	购买商品接受服务支付的现金	支付的其他与业务活动有关的现金	业务活动现金流出小计	业务活动产生的现金净流量	收回投资所收到的现金	取得投资收益所收到的现金	处置固定资产和无形资产所收回的现金	收到的其他与投资有关的现金	投资活动现金流入小计	购建固定资产和无形资产所支付的现金	对外投资所支付的现金	支付的其他与投资活动有关的现金	投资活动现金流出小计	投资活动产生的现金流量净额	借款所收到的现金	收到的其他与筹资活动有关的现金	筹资活动现金流入小计	偿还借款所支付的现金	偿还利息所支付的现金	支付的其他与筹资活动有关的现金	筹资活动现金流出小计	筹措活动产生的现金流量净额	汇率变动对现金的影响	现金及现金等价物净增加额
ricf_oid	ba_cn	fp_dt	cf_doc	cf_soc	cf_srvc	cf_proc	cf_govc	cf_otca	cf_atci	cf_dopc	cf_stpc	cf_psc	cf_otpc	cf_atco	cf_anc	cf_inc	cf_inrc	cf_assc	cf_oc	cf_itci	cf_aspc	cf_inpc	cf_oinc	cf_tinc	cf_intc	cf_leca	cf_tfc	cf_tfic	cf_bopc	cf_inpc	cf_ofc	cf_tfoc	cf_nfl	cf_exch	cf_ninc
2	一达助学（伊春）基金会	2013	0	0	0	0	0	96724.37	96724.37 	0.00 	0	0	962.71 	962.71 	95761.66 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
3	万科公益基金会	2013	4879225.68	0	0	0	0	0	4879225.68 	17642742.65 	0	0	0.00 	17642742.65 	-12763516.97 	12949.91 	0.00 	0	8400000	8412949.91 	0.00 	32000000.00 	563822.96 	32563822.96 	-24150873.05 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
5	三亚市法律援助基金会	2013	0	0	0	0	0	14592.19	14592.19 	100100.00 	24000	0	21277.37 	145377.37 	-130785.18 	0.00 	0.00 	0	0	0.00 	9450.00 	0.00 	0.00 	9450.00 	-9450.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
6	三明学院教育发展基金会	2013	2000000	0	0	0	0	812.78	2000812.78 	0.00 	0	0	0.00 	0.00 	2000812.78 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
7	三江学院教育发展基金会	2013	200000	0	0	0	0	45000000	45200000.00 	4942800.00 	0	0	6000.00 	4948800.00 	40251200.00 	0.00 	0.00 	0	0	0.00 	0.00 	30000000.00 	0.00 	30000000.00 	-30000000.00 	0	166944.32	166944.32	0	0	0.00 	0.00 	166944.32 	0	0
8	三江源生态保护基金会	2013	1600000	0	0	0	500000	36692.55	2136692.55 	0.00 	193892	0	573328.52 	767220.52 	1369472.03 	0.00 	0.00 	0	0	0.00 	90385700.00 	0.00 	0.00 	90385700.00 	-90385700.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
9	三门县人民教育基金会	2013	0	0	0	0	0	540.16	540.16 	0.00 	0	0	38473.80 	38473.80 	-37933.64 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
10	上海七弦古琴文化发展基金会	2013	300000	0	0	0	0	9065.66	309065.66 	0.00 	14760	243804.47	1892219.88 	2150784.35 	-1841718.69 	3000000.00 	100000.00 	0	0	3100000.00 	0.00 	0.00 	0.00 	0.00 	3100000.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
11	上海万宇慈善基金会	2013	5000000	0	0	0	0	5936.68	5005936.68 	503191.00 	0	0	304.00 	503495.00 	4502441.68 	73612.88 	0.00 	0	0	73612.88 	0.00 	0.00 	0.00 	0.00 	73612.88 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
12	上海世华民族艺术瑰宝回归基金会	2013	400000	0	0	0	0	0	400000.00 	0.00 	0	0	0.00 	0.00 	400000.00 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	163000.00 	163000.00 	-163000.00 	0	0
13	上海东华大学教育发展基金会	2013	11310669.56	0	0	0	0	21372.52	11332042.08 	9547900.00 	0	0	8872.10 	9556772.10 	1775269.98 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
14	上海东方文化艺术基金会	2013	0	0	0	0	0	119648.54	119648.54 	0.00 	303871	11633211.71	438544.65 	12375627.36 	-12255978.82 	0.00 	0.00 	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
15	上海东方爱心基金会	2013	0	0	0	0	0	1852.14	1852.14 	1200000.00 	0	0	113674.60 	1313674.60 	-1311822.46 	2350000.00 	0.00 	0	0	2350000.00 	0.00 	1000000.00 	0.00 	1000000.00 	1350000.00 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
16	上海中华职业教育温暖工程基金会	2013	0	0	0	0	0	79740.15	79740.15 	250000.00 	23400	153361.2	13988.10 	440749.30 	-361009.15 	133694.94 	0.00 	0	0	133694.94 	0.00 	10005.00 	0.00 	10005.00 	123689.94 	0	0	0	0	0	0.00 	0.00 	0.00 	0	0
